0.373714,2.29897
0.437714,3.70036
0.474286,4.86576
0.52,6.3109
0.542857,7.2887
0.574857,8.22141
0.625143,10.2241
0.657143,11.7136
0.716571,13.764
0.739429,14.5562
0.771429,16.0921
0.821714,17.6772
0.872,18.7517
0.926857,19.7806
0.963429,20.1571
1.01829,20.3043
1.07314,19.7554
1.13257,18.9751
1.21486,17.5022
1.26057,15.8382
1.352,13.4849
1.384,11.9582
1.42057,11.2211
1.45714,10.0199
1.53943,7.47962
1.61257,5.58767
1.65371,4.94398
1.67657,4.29765
1.70857,3.74544
1.79543,2.64435
